window,train_start,trade_start,trade_end,genome,ga_fitness,oos_net,oos_dd,oos_calmar,oos_trades,start_capital,end_capital
0,2017-01-03 02:00:00-05:00,2017-07-03 02:00:00-04:00,2017-10-03 02:00:00-04:00,"{'w': 185, 'm': 70, 'd_min': 0.03430634357295828, 'd_max': 1.7726524722221766, 'v': 10, 'beta': 1.6461501809525019}",11.352272727272727,-1380.0,3410.0,-0.4046920821114369,17,100000.0,98620.0
1,2017-04-03 02:00:00-04:00,2017-10-03 02:00:00-04:00,2018-01-03 02:00:00-05:00,"{'w': 279, 'm': 61, 'd_min': 0.021936724350604158, 'd_max': 1.7990405771472604, 'v': 10, 'beta': 1.9312288429255646}",4.580270270270271,-3806.7320000000036,4467.486000000004,-0.8520971302428255,16,98620.0,94813.268
2,2017-07-03 02:00:00-04:00,2018-01-03 02:00:00-05:00,2018-04-03 02:00:00-04:00,"{'w': 133, 'm': 9, 'd_min': 0.05998658918183848, 'd_max': 0.8864689569197164, 'v': 10, 'beta': 5.5905697504272505}",7.621571692482592,-10445.57773556,10445.57773556,-1.0,31,94813.268,84367.69026444
3,2017-10-03 02:00:00-04:00,2018-04-03 02:00:00-04:00,2018-07-03 02:00:00-04:00,"{'w': 72, 'm': 6, 'd_min': 0.023365176119543016, 'd_max': 0.33432722038804163, 'v': 10, 'beta': 8.0}",6.042938158250068,7876.145724636794,8294.609468348426,0.9495499160860488,80,84367.69026444,92243.83598907679
4,2018-01-03 02:00:00-05:00,2018-07-03 02:00:00-04:00,2018-10-03 02:00:00-04:00,"{'w': 95, 'm': 66, 'd_min': 0.03207945276445168, 'd_max': 1.8819796307366476, 'v': 4, 'beta': 5.962377576978361}",7.160196409390824,-1599.5081160505943,3856.2535635233507,-0.41478292070326633,10,92243.83598907679,90644.3278730262
5,2018-04-03 02:00:00-04:00,2018-10-03 02:00:00-04:00,2019-01-03 02:00:00-05:00,"{'w': 404, 'm': 31, 'd_min': 0.02182731168546332, 'd_max': 1.5632365734301148, 'v': 1, 'beta': 2.385547000424685}",8.04513888888889,-3345.228920154026,6442.998825214701,-0.5192037141249288,21,90644.3278730262,87299.09895287217
6,2018-07-03 02:00:00-04:00,2019-01-03 02:00:00-05:00,2019-04-03 02:00:00-04:00,"{'w': 200, 'm': 14, 'd_min': 0.06368262638685435, 'd_max': 1.6165967167154263, 'v': 1, 'beta': 2.00960781610699}",6.323065902578796,-2627.7028784814465,4059.4081013085524,-0.6473118279569884,13,87299.09895287217,84671.39607439072
7,2018-10-03 02:00:00-04:00,2019-04-03 02:00:00-04:00,2019-07-03 02:00:00-04:00,"{'w': 398, 'm': 77, 'd_min': 0.03642953324446783, 'd_max': 0.6197832614656894, 'v': 10, 'beta': 3.870855270983406}",6.00262390670554,3006.2579176212457,2938.944157742095,1.0229040622299084,11,84671.39607439072,87677.65399201197
8,2019-01-03 02:00:00-05:00,2019-07-03 02:00:00-04:00,2019-10-03 02:00:00-04:00,"{'w': 271, 'm': 35, 'd_min': 0.03788290875780664, 'd_max': 0.5431315734649248, 'v': 10, 'beta': 6.696524689921763}",6.72410419469243,12099.077862627688,6103.679882653902,1.9822595704948678,12,87677.65399201197,99776.73185463966
9,2019-04-03 02:00:00-04:00,2019-10-03 02:00:00-04:00,2020-01-03 02:00:00-05:00,"{'w': 150, 'm': 63, 'd_min': 0.03681427062973657, 'd_max': 1.2250257247182084, 'v': 8, 'beta': 6.148922278528076}",10.123716381418093,14666.181815313481,3023.234975195577,4.851155115511558,10,99776.73185463966,114442.91366995314
10,2019-07-03 02:00:00-04:00,2020-01-03 02:00:00-05:00,2020-04-03 02:00:00-04:00,"{'w': 334, 'm': 56, 'd_min': 0.023009035639628958, 'd_max': 1.0780776173826603, 'v': 6, 'beta': 3.7203919199548}",11.346787148594377,4313.925630788886,4222.943514421277,1.0215447154471538,14,114442.91366995314,118756.83930074202
11,2019-10-03 02:00:00-04:00,2020-04-03 02:00:00-04:00,2020-07-03 02:00:00-04:00,"{'w': 257, 'm': 42, 'd_min': 0.025147410127828323, 'd_max': 1.130700431470955, 'v': 8, 'beta': 3.8928569626833256}",12.324485596707818,11242.116192404748,6810.7047338975535,1.6506538796861387,33,118756.83930074202,129998.95549314677
12,2020-01-03 02:00:00-05:00,2020-07-03 02:00:00-04:00,2020-10-03 02:00:00-04:00,"{'w': 256, 'm': 29, 'd_min': 0.08876749816744978, 'd_max': 1.9981571314996285, 'v': 9, 'beta': 7.070432503125785}",12.301672125495605,18775.749141875203,11067.461075909028,1.696482057908033,17,129998.95549314677,148774.70463502198
13,2020-04-03 02:00:00-04:00,2020-10-03 02:00:00-04:00,2021-01-03 02:00:00-05:00,"{'w': 283, 'm': 68, 'd_min': 0.06072275984535041, 'd_max': 0.9434717423022613, 'v': 4, 'beta': 3.5397651969698942}",14.201330798479088,4110.645089065656,4286.943114058173,0.9588755856324795,6,148774.70463502198,152885.34972408763
14,2020-07-03 02:00:00-04:00,2021-01-03 02:00:00-05:00,2021-04-03 02:00:00-04:00,"{'w': 132, 'm': 6, 'd_min': 0.15724479014783357, 'd_max': 1.7751078137210188, 'v': 4, 'beta': 5.449381044566808}",12.211026293469041,31135.101471310452,17845.542446544132,1.7446990790319126,18,152885.34972408763,184020.45119539808
15,2020-10-03 02:00:00-04:00,2021-04-03 02:00:00-04:00,2021-07-03 02:00:00-04:00,"{'w': 131, 'm': 6, 'd_min': 0.14686228661601458, 'd_max': 1.2208153862354658, 'v': 10, 'beta': 3.046117080276517}",14.385979381443299,15807.356757684698,8759.373476900946,1.8046218487394967,15,184020.45119539808,199827.80795308278
16,2021-01-03 02:00:00-05:00,2021-07-03 02:00:00-04:00,2021-10-03 02:00:00-04:00,"{'w': 115, 'm': 6, 'd_min': 0.1358127089243491, 'd_max': 0.28323163587929, 'v': 3, 'beta': 4.280799357182326}",12.097710934544079,109.90529437418445,14191.770920827927,0.007744297381018657,10,199827.80795308278,199937.71324745697
17,2021-04-03 02:00:00-04:00,2021-10-03 02:00:00-04:00,2022-01-03 02:00:00-05:00,"{'w': 190, 'm': 57, 'd_min': 0.025877059640443442, 'd_max': 1.6758258378424409, 'v': 6, 'beta': 2.0259464885894594}",6.429064039408867,-21142.413487352344,24473.375790054968,-0.8638944487561786,29,199937.71324745697,178795.29976010462
18,2021-07-03 02:00:00-04:00,2022-01-03 02:00:00-05:00,2022-04-03 02:00:00-04:00,"{'w': 207, 'm': 97, 'd_min': 0.021328083387033018, 'd_max': 0.3401371240973383, 'v': 8, 'beta': 4.452307487229646}",13.639387695025022,14320.609534285584,10776.886693040316,1.328826213189547,21,178795.29976010462,193115.9092943902
19,2021-10-03 02:00:00-04:00,2022-04-03 02:00:00-04:00,2022-07-03 02:00:00-04:00,"{'w': 214, 'm': 112, 'd_min': 0.02, 'd_max': 0.19511110174512658, 'v': 4, 'beta': 8.0}",17.161065212160103,33206.280603170395,18656.927996931045,1.7798364558534305,15,193115.9092943902,226322.1898975606
20,2022-01-03 02:00:00-05:00,2022-07-03 02:00:00-04:00,2022-10-03 02:00:00-04:00,"{'w': 196, 'm': 118, 'd_min': 0.021900266815979785, 'd_max': 0.3543437063545917, 'v': 10, 'beta': 8.0}",9.729471228615862,-15074.189458127017,38324.26802630341,-0.39333274278796465,16,226322.1898975606,211248.00043943358
21,2022-04-03 02:00:00-04:00,2022-10-03 02:00:00-04:00,2023-01-03 02:00:00-05:00,"{'w': 446, 'm': 7, 'd_min': 0.17373894724564026, 'd_max': 0.7670376285144869, 'v': 6, 'beta': 2.412344491075219}",11.436200448765893,-12622.068026256165,13750.132348602754,-0.917959748041173,10,211248.00043943358,198625.93241317742
22,2022-07-03 02:00:00-04:00,2023-01-03 02:00:00-05:00,2023-04-03 02:00:00-04:00,"{'w': 231, 'm': 118, 'd_min': 0.032194408746596695, 'd_max': 1.3691157726952439, 'v': 4, 'beta': 2.2898828371628976}",9.300206611570248,-4025.1545203530404,9416.855455708748,-0.427441468044716,11,198625.93241317742,194600.77789282438
23,2022-10-03 02:00:00-04:00,2023-04-03 02:00:00-04:00,2023-07-03 02:00:00-04:00,"{'w': 215, 'm': 83, 'd_min': 0.02131646001892017, 'd_max': 0.46956939661115693, 'v': 8, 'beta': 3.855564659827557}",6.0093194625054185,-5806.88721232189,14894.743539916788,-0.389861510321401,14,194600.77789282438,188793.8906805025
24,2023-01-03 02:00:00-05:00,2023-07-03 02:00:00-04:00,2023-10-03 02:00:00-04:00,"{'w': 123, 'm': 71, 'd_min': 0.02, 'd_max': 1.6576568403906904, 'v': 5, 'beta': 1.441271255911837}",6.841961174713788,-10279.827347553364,16139.989714276162,-0.6369165984325653,20,188793.8906805025,178514.06333294912
25,2023-04-03 02:00:00-04:00,2023-10-03 02:00:00-04:00,2024-01-03 02:00:00-05:00,"{'w': 326, 'm': 24, 'd_min': 0.0755954350173545, 'd_max': 0.5837143175197572, 'v': 8, 'beta': 1.204007730717537}",11.554700854700855,-11901.532602407708,15470.921298750036,-0.7692840246927819,16,178514.06333294912,166612.53073054142
26,2023-07-03 02:00:00-04:00,2024-01-03 02:00:00-05:00,2024-04-03 02:00:00-04:00,"{'w': 275, 'm': 15, 'd_min': 0.11002857402512106, 'd_max': 0.7342511833304468, 'v': 9, 'beta': 1.2902393964912202}",4.6030211480362535,-181.60765849630116,8223.99451685953,-0.022082658022691763,14,166612.53073054142,166430.92307204512
27,2023-10-03 02:00:00-04:00,2024-04-03 02:00:00-04:00,2024-07-03 02:00:00-04:00,"{'w': 218, 'm': 59, 'd_min': 0.03760077960749914, 'd_max': 0.9795313590831054, 'v': 8, 'beta': 5.834767117509974}",8.677293659227772,-4942.998415239737,21044.358067844732,-0.234884732492388,17,166430.92307204512,161487.92465680538
28,2024-01-03 02:00:00-05:00,2024-07-03 02:00:00-04:00,2024-10-03 02:00:00-04:00,"{'w': 101, 'm': 6, 'd_min': 0.15113404929209426, 'd_max': 0.2888469866889832, 'v': 10, 'beta': 1.767326050895841}",10.108593135970658,11107.946897518355,11768.432509364677,0.943876500857634,20,161487.92465680538,172595.87155432373
29,2024-04-03 02:00:00-04:00,2024-10-03 02:00:00-04:00,2025-01-03 02:00:00-05:00,"{'w': 469, 'm': 7, 'd_min': 0.11409775528112345, 'd_max': 1.7623277469693321, 'v': 6, 'beta': 1.0381942737788314}",11.565412689500281,3131.752089353191,3388.056958611385,0.9243504839531262,8,172595.87155432373,175727.62364367692
30,2024-07-03 02:00:00-04:00,2025-01-03 02:00:00-05:00,2025-04-03 02:00:00-04:00,"{'w': 243, 'm': 111, 'd_min': 0.03665123604812526, 'd_max': 0.3073201259515638, 'v': 4, 'beta': 1.0133884671239417}",13.731178033658104,1485.7770579072821,4226.24934863043,0.35155925155925005,13,175727.62364367692,177213.4007015842
31,2024-10-03 02:00:00-04:00,2025-04-03 02:00:00-04:00,2025-07-03 02:00:00-04:00,"{'w': 159, 'm': 23, 'd_min': 0.07854992062836963, 'd_max': 0.5490905293892122, 'v': 8, 'beta': 1.3907897333740051}",9.410979228486648,9323.197010910342,11902.538058121892,0.783294870840468,19,177213.4007015842,186536.59771249455
32,2025-01-03 02:00:00-05:00,2025-07-03 02:00:00-04:00,2025-10-03 02:00:00-04:00,"{'w': 286, 'm': 9, 'd_min': 0.024844887868890286, 'd_max': 0.6653115449109619, 'v': 4, 'beta': 1.782402585854843}",9.468375072801399,3246.6694831859786,8475.290317067178,0.38307472213051796,34,186536.59771249455,189783.26719568053
33,2025-04-03 02:00:00-04:00,2025-10-03 02:00:00-04:00,2026-01-03 02:00:00-05:00,"{'w': 465, 'm': 25, 'd_min': 0.0286040436463999, 'd_max': 2.0, 'v': 10, 'beta': 4.337651121897344}",10.680537634408601,17707.727745692973,12560.805539346096,1.4097605197552339,23,189783.26719568053,207490.9949413735
34,2025-07-03 02:00:00-04:00,2026-01-03 02:00:00-05:00,2026-02-20 16:10:00-05:00,"{'w': 470, 'm': 65, 'd_min': 0.02000009155635732, 'd_max': 0.2895799388701683, 'v': 6, 'beta': 2.4412529511595547}",7.744958864332957,-4174.718818220426,11149.528613174713,-0.3744300735088852,6,207490.9949413735,203316.27612315307
